username,count_submit,count_problem,avg_submit,count_assignment,sum_pre_score,avg_pre_score,avg_coef,time,ratio,point_hard,time_hard,avg_submit_hard,start,max_problem,count_hard_problems,ratio_problem
00b6dd4fc7eb817e03708c532016ef30ce564a61,147,46,3.1956521739130435,7,460000,10000.0,100.0,2.0,6.571428571428571,60000.0,2.5,4.5,0.2857142857142857,47.0,0.0,0.9787234042553191
00bef8afee8f3c595d535c9c03c490cac1a4f021,259,78,3.3205128205128207,9,752499,9647.423076923076,100.0,6.0,8.666666666666666,120000.0,14.5,3.4166666666666665,5.222222222222222,96.0,0.0,0.8125
01122b3ef7e59b84189e65985305f575d6bdf83c,195,66,2.9545454545454546,7,615300,9322.727272727272,100.0,6.0,9.428571428571429,136500.0,9.0,3.25,0.7142857142857143,61.0,0.0,0.8208955223880597
0134f9f410c65ad0e8c2254a7e9288670e02a183,100,47,2.127659574468085,4,470000,10000.0,100.0,9.0,11.75,80000.0,7.5,4.375,9.0,51.0,0.0,0.9215686274509803
013de369c439ab0ead8aa7da64423aa395a8be39,107,52,2.0576923076923075,8,465626,8954.346153846154,96.15384615384616,9.0,6.5,81484.0,8.0,2.4166666666666665,2.5,75.0,0.0,0.6933333333333334
014c59c6433fd764a0b08de6ffeb757eaf60aa73,199,90,2.2111111111111112,9,796000,8844.444444444445,100.0,16.0,10.0,140000.0,16.0,2.5,14.88888888888889,103.0,0.0,0.8737864077669902
0155f91fe242fe55e1af631b0f0afbe9938b185c,179,46,3.891304347826087,8,432000,9391.304347826086,97.82608695652173,14.0,5.75,63000.0,7.0,3.375,6.875,80.0,0.0,0.575
016f87a7bd87f233a8633fba8a1ca7ef5c3c63c1,364,78,4.666666666666667,10,717916,9204.051282051281,100.0,6.0,7.8,113250.0,10.0,5.333333333333333,17.1,107.0,0.0,0.7289719626168224
017ec1bbad0d598e5a86ac3bd595b870b6456e61,218,91,2.3956043956043955,11,881142,9682.87912087912,100.0,1.0,8.272727272727273,162142.0,9.0,2.3529411764705883,15.454545454545455,117.0,0.0,0.7777777777777778
01ad03ec301749c033155fc17e657cc767d447c8,271,72,3.763888888888889,12,688146,9557.583333333334,100.0,8.0,6.0,114146.0,4.5,6.666666666666667,22.0,114.0,0.0,0.631578947368421
020ef1c31cb4751bbfa1a88fba782db3c402e2fa,175,62,2.8225806451612905,7,585000,9435.483870967742,100.0,1.0,8.857142857142858,110000.0,3.0,2.6153846153846154,23.428571428571427,56.0,0.0,0.8208955223880597
020f253c343856ea875e959023e79fb1d4d9c0a3,3,2,1.5,1,10000,5000.0,100.0,9.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4
0248e16d134e1bd5b4352701e1f23b904b7c4cdf,205,50,4.1,8,498940,9978.8,100.0,1.0,6.25,98940.0,4.0,5.3,3.75,57.0,3.0,0.8771929824561403
024af5e4f76c23e7f08616c60e595453e538a1ba,260,90,2.888888888888889,8,810091,9001.011111111111,100.0,12.0,11.25,133728.0,7.0,3.9523809523809526,6.625,109.0,0.0,0.8256880733944955
0297fd76b36e100882756e636bb03031255f57da,272,48,5.666666666666667,6,478689,9972.6875,100.0,9.0,8.0,40000.0,11.0,5.75,6.0,52.0,0.0,0.9230769230769231
02c88d535d7393d30ce3338174d0a17ee7e8b8cc,177,71,2.492957746478873,5,700000,9859.154929577464,100.0,5.0,14.2,110000.0,9.5,2.5833333333333335,0.0,71.0,0.0,1.0
02f8a629f1a01a476de3944da2860d1c107f1b28,465,104,4.471153846153846,16,910886,8758.51923076923,100.0,19.0,6.5,158470.0,10.0,5.217391304347826,35.375,153.0,0.0,0.6797385620915033
0304aa9c12a1c900dcb4413c6a4ce40cc05b1696,145,59,2.457627118644068,5,578000,9796.610169491525,100.0,7.0,11.8,110000.0,9.0,3.272727272727273,0.0,59.0,0.0,1.0
0306a80129ed6d5afadece8164929697bbbdea69,76,17,4.470588235294118,7,130000,7647.058823529412,100.0,7.0,2.4285714285714284,40000.0,7.0,5.0,2.2857142857142856,21.0,0.0,0.8095238095238095
0341249377940c004d0823408ace7cddbddbc923,294,71,4.140845070422535,11,706000,9943.661971830987,100.0,11.0,6.454545454545454,130000.0,11.0,3.1538461538461537,6.181818181818182,98.0,0.0,0.7244897959183674
035f97702f2c01d26ab1fae8f39ea2f98a0caa3c,144,50,2.88,4,500000,10000.0,100.0,6.0,12.5,80000.0,7.5,3.25,8.25,51.0,0.0,0.9803921568627451
0367f82909c46a900501cc32d02b913923f75314,12,3,4.0,1,19109,6369.666666666667,100.0,2.0,3.0,9109.0,2.5,4.5,0.0,5.0,0.0,0.6
038dfa39ea11eb199e32e61fa4bd264d6d7ebc72,170,53,3.207547169811321,5,478363,9025.716981132075,100.0,8.0,10.6,95000.0,9.0,4.545454545454546,0.0,59.0,0.0,0.8983050847457628
041dc9a457bc7a9f1dcb5b215aaa78a6868483f5,35,21,1.6666666666666667,7,210000,10000.0,100.0,8.0,3.0,50000.0,8.0,2.2,1.7142857142857142,21.0,0.0,1.0
045792bbf5167d31c0064c8520d189a09f276502,214,71,3.0140845070422535,5,700000,9859.154929577464,100.0,1.0,14.2,110000.0,7.0,4.916666666666667,0.8,71.0,0.0,1.0
04d32bf7b10a238244d3e1acc3bcf53a449daf99,405,103,3.9320388349514563,8,1003157,9739.388349514564,100.0,5.0,12.875,163157.0,12.0,6.947368421052632,18.875,149.0,0.0,0.6912751677852349
04fea422f4b51279771239f896f7acb7224a2def,243,110,2.209090909090909,5,1090000,9909.09090909091,100.0,6.0,22.0,150000.0,7.0,3.533333333333333,0.8,111.0,0.0,0.990990990990991
04feabadb3e2d863eded075f541be8ff78d50474,199,81,2.45679012345679,12,805000,9938.271604938273,100.0,16.0,6.75,120000.0,14.0,2.1666666666666665,25.541666666666668,105.0,0.0,0.7714285714285715
052039d5c5915699359b1d549b36ea69330c0ac3,158,38,4.157894736842105,7,321175,8451.973684210527,94.73684210526316,6.0,5.428571428571429,38000.0,6.0,6.857142857142857,10.428571428571429,80.0,0.0,0.475
05203b8a827f60a7cbb49a7d04a0b45dae39fa8d,696,113,6.15929203539823,11,1033487,9145.902654867257,100.0,9.0,10.272727272727273,154179.0,9.0,9.791666666666666,13.0,116.0,0.0,0.9741379310344828
05218d5a6d67f5c1d6305dffb907e940260304c1,343,104,3.298076923076923,6,1040000,10000.0,100.0,5.0,17.333333333333332,130000.0,8.0,1.9230769230769231,1.1666666666666667,123.0,0.0,0.8455284552845529
0538762f44e8dfb07dc26c8c771f06080b9b2dee,120,41,2.926829268292683,6,410000,10000.0,100.0,6.0,6.833333333333333,50000.0,13.0,5.6,2.3333333333333335,46.0,0.0,0.8913043478260869
056711f171807d5b28f83e7afeb3d7e18ec3a5d9,158,30,5.266666666666667,7,273000,9100.0,100.0,14.0,4.285714285714286,50000.0,6.0,6.166666666666667,27.928571428571427,81.0,0.0,0.37037037037037035
0577e3c1b0a6df46c7fef07f400b42811cc77250,418,107,3.9065420560747666,11,1012153,9459.373831775702,100.0,1.0,9.727272727272727,160250.0,9.0,4.181818181818182,15.727272727272727,117.0,0.0,0.9145299145299145
